date,Action,Adventure,Children,Comedy,Crime,Documentary,Drama,Fantasy,Noir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western
1995,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1995,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1964,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1995,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1995,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1977,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1994,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
